RegionName,City,State,Metro,CountyName,zesFeb,soldFeb
94109,San Francisco,CA,San Francisco,San Francisco,1049000,1017250
94565,Pittsburg,CA,San Francisco,Contra Costa,349900,297500
94501,Alameda,CA,San Francisco,Alameda,699000,707800
94110,San Francisco,CA,San Francisco,San Francisco,1095000,1217692.308
94536,Fremont,CA,San Francisco,Alameda,619000,657250
94544,Hayward,CA,San Francisco,Alameda,450000,395500
94509,Antioch,CA,San Francisco,Contra Costa,269900,260250
94538,Fremont,CA,San Francisco,Alameda,619950,524250
95123,San Jose,CA,San Jose,Santa Clara,688888,521900
94541,Hayward,CA,San Francisco,Alameda,474950,376400
94587,Union City,CA,San Francisco,Alameda,605000,584500
95014,Cupertino,CA,San Jose,Santa Clara,1399000,1556153.846
94080,South San Francisco,CA,San Francisco,San Mateo,645000,687750
95051,Santa Clara,CA,San Jose,Santa Clara,799000,767000
95125,San Jose,CA,San Jose,Santa Clara,925000,879750
94112,San Francisco,CA,San Francisco,San Francisco,699000,705450
94806,San Pablo,CA,San Francisco,Contra Costa,316000,310525
95035,Milpitas,CA,San Jose,Santa Clara,729000,674150
94513,Brentwood,CA,San Francisco,Contra Costa,510000,452750
94553,Martinez,CA,San Francisco,Contra Costa,499990,448000
94015,Daly City,CA,San Francisco,San Mateo,629000,621950
94086,Sunnyvale,CA,San Jose,Santa Clara,900000,1059750
94568,Dublin,CA,San Francisco,Alameda,779900,540800
95008,Campbell,CA,San Jose,Santa Clara,800000,949100
94115,San Francisco,CA,San Francisco,San Francisco,1595000,1137000
94577,San Leandro,CA,San Francisco,Alameda,439950,386350
95020,Gilroy,CA,San Jose,Santa Clara,599000,526000
94546,Castro Valley,CA,San Francisco,Alameda,549999,461450
94550,Livermore,CA,San Francisco,Alameda,776000,614000
94114,San Francisco,CA,San Francisco,San Francisco,1149000,1325000
95124,San Jose,CA,San Jose,Santa Clara,888000,826500
94010,Burlingame,CA,San Francisco,San Mateo,2695000,1462750
94403,San Mateo,CA,San Francisco,San Mateo,975900,959730.7692
94605,Oakland,CA,San Francisco,Alameda,399000,419750
94539,Fremont,CA,San Francisco,Alameda,1199000,1045725
94566,Pleasanton,CA,San Francisco,Alameda,1150000,892307.6923
94521,Concord,CA,San Francisco,Contra Costa,520000,487350
94025,Menlo Park,CA,San Francisco,San Mateo,1945000,1596250
95127,San Jose,CA,San Jose,Santa Clara,598000,544700
95136,San Jose,CA,San Jose,Santa Clara,680000,659500
94901,San Rafael,CA,San Francisco,Marin,779000,768230.7692
95037,Morgan Hill,CA,San Jose,Santa Clara,835000,712250
95111,San Jose,CA,San Jose,Santa Clara,499000,496350
94608,Oakland,CA,San Francisco,Alameda,449000,478307.6923
94804,Richmond,CA,San Francisco,Contra Costa,320000,295000
94044,Pacifica,CA,San Francisco,San Mateo,749000,687000
95023,Hollister,CA,San Jose,San Benito,475000,423550
94404,Foster City,CA,San Francisco,San Mateo,820000,931153.8462
95126,San Jose,CA,San Jose,Santa Clara,648000,693750
94578,San Leandro,CA,San Francisco,Alameda,479000,407846.1538
94523,Pleasant Hill,CA,San Francisco,Contra Costa,549800,516375
94040,Mountain View,CA,San Jose,Santa Clara,1398000,1300000
94551,Livermore,CA,San Francisco,Alameda,550000,532250
94303,Palo Alto,CA,San Jose,Santa Clara,675000,754307.6923
95129,San Jose,CA,San Jose,Santa Clara,1295000,1360923.077
94583,San Ramon,CA,San Francisco,Contra Costa,788000,771500
94582,San Ramon,CA,San Francisco,Contra Costa,930000,892000
95128,San Jose,CA,San Jose,Santa Clara,749000,631450
94560,Newark,CA,San Francisco,Alameda,599888,573500
